10-02-96    3T2-T= 798K (525C) LaMnO3
     100       0   0.050      20       0       0
   0.000
  47000.      0.    0.00    0.00
12    5212    5812    5512    5412    5312    5412    5212    5512    5212    52
12    5612    5112    5412    5212    5712    5412    5812    6112    6212    67
12    8012   11813   18513   31313   46913   53213   49713   38513   23013   109
13    7313    6513    5913    5913    5713    5713    5813    5513    5413    58
13    5613    5113    5313    5813    5813    6313    7113    8513    9113    91
13    7913    6913    6113    5613    5313    5313    5013    5013    5213    48
13    5413    5213    5113    5413    5413    4813    5213    5113    5213    51
13    5413    5213    5213    5413    5213    5513    5313    5113    5113    53
13    5213    5114    4914    5514    5514    5614    5814    5914    6814    78
14   10114   14014   16714   18214   15214   12314    8414    6214    5914    56
14    5314    5414    5514    5114    5414    5414    5514    5614    6014    61
14    7714   11914   18614   28414   32314   31914   25714   16214    9114    65
14    5614    5414    5314    5314    5314    5314    5514    5514    5114    54
14    5714    5714    6414    7914    9014    9714    9514    8214    6514    54
14    5314    5514    5315    5015    5615    5215    5015    5115    4915    50
15    4715    5115    5315    4915    5215    5015    5315    4915    4915    48
15    4815    5115    5015    4715    4815    4915    4715    5015    4915    50
15    4715    4915    5115    4615    4915    4915    4815    5015    4815    50
15    5115    5215    4815    5015    5315    4915    5315    5215    4915    49
15    4915    4915    5115    5715    7015    7515    7715    7815    6815    54
15    5015    4616    5016    4816    4816    5016    5016    4816    4616    48
16    4616    4716    4916    4916    5016    4816    4616    4916    4816    48
16    4916    5016    4716    4716    4616    4616    4916    4616    4716    51
16    5116    5516    6016    7316    7816    8216    7616    6316    5516    48
16    4716    4716    4716    5216    4816    4916    5116    4916    5116    56
16    6016    7216    9116   10916   11416   10616    8616    6016    5116    51
16    5216    4917    4917    5017    4817    4617    4817    4917    5117    48
17    4717    4717    4817    4517    4617    5017    4417    4717    4917    52
17    4617    4917    5017    4717    5117    5017    4817    5217    5617    59
17    6417    6817    6617    5817    5317    5117    4817    5017    5117    51
17    5317    4817    5117    5117    4917    5217    5617    6117    6517    67
17    6017    5517    5217    4917    5017    5017    4917    5017    5117    51
17    4917    4917    5018    5418    5018    5018    4918    5318    5218    50
18    5318    5218    5318    5318    5218    5118    5418    5518    6018    64
18    7318   11218   19018   28118   33018   30918   24418   14118    7918    62
18    5718    5518    5518    5618    5418    5618    5318    5418    5718    58
18    6618    7018    6818    6518    6218    5418    5418    5618    5218    53
18    5318    5418    5318    5418    5918    6118    7318    9118   10318   106
18    9618    7918    6419    5719    5819    5819    5319    5619    5719    60
