07-02-96     LaMnO3 T=300C=573K (Pbnm) 3t2, Lambda=1.227A
     100       0   0.050      20       0       0
   0.000
  47000.      0.    0.00    0.00
 1    22 1    18 1     8 1    14 1    21 1    11 1    21 1    14 1    24 1    16
 1     6 1    13 1     6 1     8 1     6 1     4 1     4 1     4 1     0 1     7
 1     6 1     6 1     5 1     7 1     1 1     8 1     8 1    10 1    15 1     7
 1     7 1    14 1    26 1    13 1    10 1    13 1    26 1    26 1    43 1    39
 1    38 1    46 1    51 1    37 1    51 1    38 1    53 1    38 1    35 1    37
 1    38 1    42 1    33 1    34 1    33 1    29 1    30 1    30 1    29 1    23
 2    18 2    21 2    18 2    17 2    21 2    18 2    24 2    18 2    17 2    12
 2    23 2    19 2    24 2    17 2    24 2    19 2    25 2    29 2    38 2    24
 2    32 2    31 2    37 2    35 2    40 2    43 2    45 2    38 2    42 2    48
 2    46 2    53 2    52 2    61 2    59 2    61 2    65 2    67 2    73 2    70
 2    70 2    75 2    68 2    79 2    73 2    80 2    83 2    88 2    81 2    81
 2    76 2    84 2    86 2    70 2    75 2    82 2    84 2    81 2    77 2    90
 3    84 3    93 3    95 3    81 3    84 3    89 3    76 3    75 3    86 3    83
 3    87 3    78 3    85 3    84 3    74 3    97 3    82 3    87 3    79 3    87
 3    81 3    78 3    75 3    82 3    77 3    81 3    85 3    74 3    78 3    81
 3    80 3    78 3    75 3    78 3    78 3    76 3    76 3    73 3    78 3    71
 3    77 3    78 3    74 3    81 3    76 3    81 3    70 3    71 3    75 3    71
 3    69 3    66 3    72 3    66 3    68 3    65 3    70 3    65 3    76 3    76
 4    70 4    69 4    61 4    75 4    70 4    68 4    60 4    70 4    68 4    63
 4    64 4    65 4    70 4    69 4    73 4    72 4    68 4    65 4    70 4    69
 4    63 4    63 4    64 4    60 4    67 4    67 4    67 4    69 4    58 4    61
 4    67 4    58 4    61 4    60 4    66 4    59 4    64 4    69 4    68 4    58
 4    63 4    66 4    74 4    65 4    70 4    59 4    63 4    65 4    64 4    59
 4    62 4    68 4    65 4    63 4    60 4    61 4    64 4    61 4    56 4    61
 4    68 5    61 5    69 5    64 5    59 5    64 5    69 5    62 5    58 5    64
